"IDENTIFICACION","SEXO","SALARIO","TIPO_ASEGURAMIENTO","SECTOR","INDICADOR_ACTIVO","INDICADOR.EXTRANJERO","INDICADOR_MOROSO","EDAD"
782,"HOMBRE","297045","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",66
783,"MUJER","629382","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
784,"HOMBRE","338166","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",36
785,"HOMBRE","350000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",38
786,"HOMBRE","85000","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",38
787,"MUJER","675918,4","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
788,"MUJER","250000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
789,"HOMBRE","1187649,48","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",51
790,"HOMBRE","337254,54","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
791,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",52
792,"MUJER","297102","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",53
793,"HOMBRE","1998877","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",50
794,"HOMBRE","208000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
795,"MUJER","479051,66","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",47
796,"HOMBRE","1146094,07","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",48
797,"MUJER","720000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",34
798,"MUJER","451549,84","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
799,"MUJER","382136","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",35
800,"HOMBRE","200000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
801,"HOMBRE","1017758","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",61
802,"MUJER","769515,15","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
803,"MUJER","938855","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",73
804,"HOMBRE","75000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",26
805,"MUJER","430007,09","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
806,"HOMBRE","533558","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",41
807,"MUJER","347514","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",20
808,"HOMBRE","226500","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
809,"MUJER","545926","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",40
810,"HOMBRE","289717","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",30
811,"HOMBRE","1765910","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",56
812,"HOMBRE","353119,82","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
813,"MUJER","44230,75","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
814,"HOMBRE","382136","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",46
815,"MUJER","115500","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",51
816,"MUJER","3289892,56","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",43
817,"HOMBRE","892687,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
818,"MUJER","261476,98","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",33
819,"HOMBRE","229395,18","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",57
820,"MUJER","854646,84","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",24
821,"HOMBRE","438402,25","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
822,"HOMBRE","440612,25","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
823,"HOMBRE","299784","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",50
824,"HOMBRE","320283","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",36
825,"HOMBRE","255360","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
826,"MUJER","387500","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
827,"HOMBRE","310124","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",65
828,"MUJER","343390,86","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
829,"MUJER","391062","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
830,"HOMBRE","584267","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",29
831,"HOMBRE","1034936,1","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",49
832,"HOMBRE","410000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
833,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",53
834,"MUJER","622035,84","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",26
835,"MUJER","917703","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",44
836,"HOMBRE","241454,4","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",23
837,"MUJER","440000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",39
838,"MUJER","623738","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",26
839,"HOMBRE","599294","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",54
840,"MUJER","555095,79","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
841,"MUJER","330550","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",59
842,"MUJER","291759,3","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",51
843,"MUJER","842365,76","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
844,"MUJER","432916,67","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",23
845,"HOMBRE","319224","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
846,"MUJER","3697124","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",73
847,"MUJER","278030","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","SI",56
848,"MUJER","416328,46","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",55
849,"HOMBRE","1907539,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",56
850,"MUJER","350000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",51
851,"HOMBRE","310124","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","NO",41
852,"MUJER","400000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",41
853,"HOMBRE","353469","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
854,"HOMBRE","362010","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",72
855,"HOMBRE","1547953,43","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
856,"MUJER","297046","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",34
857,"HOMBRE","653810,62","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",59
858,"MUJER","790070","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",69
859,"HOMBRE","546563","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",51
860,"MUJER","260000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",37
861,"HOMBRE","343391","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
862,"MUJER","114247","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",29
863,"MUJER","100186","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",48
864,"HOMBRE","1500000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",62
865,"MUJER","278030","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",40
866,"HOMBRE","445258,24","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
867,"HOMBRE","257920","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",58
868,"HOMBRE","1776922,56","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
869,"HOMBRE","757568","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",47
870,"HOMBRE","509509","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",63
871,"HOMBRE","805518","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",61
872,"HOMBRE","255660","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
873,"MUJER","517272","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",60
874,"HOMBRE","297050","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","SI",37
875,"HOMBRE","315687","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",45
876,"MUJER","372300","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",26
877,"HOMBRE","678734,05","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
878,"MUJER","315617","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",35
879,"HOMBRE","1455906,15","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",38
880,"MUJER","166295","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",50
881,"MUJER","5887012,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
882,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",61
883,"HOMBRE","503465","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",56
884,"MUJER","534815,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",29
885,"MUJER","401010","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",50
886,"HOMBRE","325000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
887,"HOMBRE","1142714","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
888,"HOMBRE","553642,06","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
889,"HOMBRE","168300","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",23
890,"HOMBRE","290371","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",34
891,"HOMBRE","2687778,85","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",51
892,"HOMBRE","130000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",22
893,"HOMBRE","575032,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
894,"HOMBRE","423268,13","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",59
895,"HOMBRE","447541,9","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",31
896,"HOMBRE","639148","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","NO",70
897,"MUJER","406742,56","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
898,"HOMBRE","356653","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",47
899,"HOMBRE","550000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",25
900,"HOMBRE","1813773,65","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",58
901,"MUJER","1807234","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
902,"HOMBRE","450000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",58
903,"MUJER","297046","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",34
904,"HOMBRE","785016,42","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
905,"HOMBRE","299065","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
906,"MUJER","338166","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",29
907,"MUJER","2623756,52","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
908,"MUJER","2085526,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",56
909,"HOMBRE","930427,8","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
910,"HOMBRE","150000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
911,"HOMBRE","299647","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",75
912,"HOMBRE","385548","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",66
913,"HOMBRE","2894048,26","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",63
914,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","SI",60
915,"MUJER","451350","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
916,"MUJER","639148","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","NO",66
917,"HOMBRE","1529085,26","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",28
918,"HOMBRE","230212,72","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",20
919,"HOMBRE","620245","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",37
920,"HOMBRE","353240","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",35
921,"HOMBRE","523001,6","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
922,"HOMBRE","477172,1","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",20
923,"HOMBRE","297046","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",35
924,"HOMBRE","458557","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",41
925,"HOMBRE","639148","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",50
926,"MUJER","299647","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",68
927,"MUJER","996543,9","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",54
928,"HOMBRE","355000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",60
929,"MUJER","319590","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
930,"MUJER","74000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",34
931,"HOMBRE","442546,73","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",40
932,"HOMBRE","1249086","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",73
933,"HOMBRE","505000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",21
934,"HOMBRE","2471797","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",78
935,"MUJER","146600","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
936,"MUJER","300932,62","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",52
937,"HOMBRE","275000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",42
938,"HOMBRE","515165","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",46
939,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",56
940,"MUJER","1205262,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",31
941,"HOMBRE","1578046,6","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
942,"MUJER","271673,09","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
943,"HOMBRE","297050","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",46
944,"MUJER","691550","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",43
945,"MUJER","322474","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",28
946,"HOMBRE","540083","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",60
947,"MUJER","291108","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",40
948,"MUJER","557449,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",36
949,"HOMBRE","682612","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
950,"MUJER","359550","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",54
951,"MUJER","444886,15","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
952,"HOMBRE","1027375,02","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",65
953,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",24
954,"HOMBRE","266831,25","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",21
955,"HOMBRE","943684,2","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",39
956,"HOMBRE","814208","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",49
957,"HOMBRE","298155","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",63
958,"MUJER","1102583,95","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
959,"HOMBRE","326749","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",47
960,"HOMBRE","419576","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",59
961,"MUJER","1828056,75","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",40
962,"HOMBRE","1335784,14","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
963,"HOMBRE","302470","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",43
964,"MUJER","538365","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",71
965,"MUJER","383420,24","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",23
966,"MUJER","2385230","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",61
967,"MUJER","300018","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",47
968,"MUJER","309100,1","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",20
969,"HOMBRE","300000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",60
970,"HOMBRE","420000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
971,"HOMBRE","1326988,8","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",38
972,"HOMBRE","405798","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",60
973,"MUJER","299647","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",40
974,"MUJER","837414","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",65
975,"HOMBRE","329119,93","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
976,"HOMBRE","966467,2","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",29
977,"MUJER","424747,4","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",49
978,"MUJER","951165","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",69
979,"HOMBRE","480560,24","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
980,"MUJER","1713724","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",63
981,"HOMBRE","848691,7","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",49
982,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",51
983,"HOMBRE","278030,99","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",30
984,"MUJER","297045","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",59
985,"MUJER","297973,5","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",42
986,"MUJER","1079349,94","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
987,"HOMBRE","326749","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",56
988,"HOMBRE","377926,85","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
989,"HOMBRE","324047","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",48
990,"MUJER","374301","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",33
991,"MUJER","297973,8","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",60
992,"MUJER","355060","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",56
993,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",19
994,"HOMBRE","342028","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
995,"HOMBRE","343836","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",40
996,"HOMBRE","430591,65","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",23
997,"HOMBRE","979079,94","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",48
998,"MUJER","428662,7","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",45
999,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",62
1000,"HOMBRE","324741,92","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",47
1001,"HOMBRE","390128,11","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
1002,"HOMBRE","713928","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",24
1003,"HOMBRE","1077120","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
1004,"MUJER","433738,95","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
1005,"MUJER","176387,09","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",88
1006,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",50
1007,"MUJER","1407034,2","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
1008,"HOMBRE","1656666,67","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
1009,"MUJER","199161","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",54
1010,"HOMBRE","600473","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",32
1011,"HOMBRE","544648","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",39
1012,"MUJER","757952,07","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",34
1013,"HOMBRE","297045","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",60
1014,"MUJER","514678","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",73
1015,"HOMBRE","207840","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",41
1016,"MUJER","592970","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",37
1017,"HOMBRE","418054","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",48
1018,"HOMBRE","140375","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",54
1019,"MUJER","2152089,7","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
1020,"MUJER","1444541","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",69
1021,"HOMBRE","326749","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",58
1022,"HOMBRE","4644820,8","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",37
1023,"MUJER","517053,85","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",28
1024,"HOMBRE","3692520","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",47
1025,"HOMBRE","333671","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",23
1026,"MUJER","504571,88","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
1027,"MUJER","264120","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",32
1028,"MUJER","766575,22","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",71
1029,"HOMBRE","1020006,8","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
1030,"HOMBRE","701742","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",30
1031,"HOMBRE","320000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",41
1032,"HOMBRE","1340270,34","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
1033,"HOMBRE","639148","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",73
1034,"MUJER","1790761","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",54
1035,"HOMBRE","1170360","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",61
1036,"MUJER","196106,25","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",38
1037,"MUJER","1510021","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",46
1038,"HOMBRE","297058","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","NO","NO","SI",43
1039,"MUJER","465916","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",36
1040,"MUJER","632704,4","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",35
1041,"MUJER","952206","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",57
1042,"HOMBRE","1902994,84","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",40
1043,"MUJER","1215206,99","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
1044,"MUJER","518584,68","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",19
1045,"MUJER","426767,25","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
1046,"HOMBRE","325779,37","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",20
1047,"HOMBRE","355776","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
1048,"HOMBRE","150000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",31
1049,"HOMBRE","297429","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",28
1050,"HOMBRE","327400","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
1051,"HOMBRE","4742229,64","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",49
1052,"MUJER","396057","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",19
1053,"HOMBRE","1492126,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",41
1054,"HOMBRE","1301239","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",76
1055,"MUJER","359544,27","CONVENIOS ESPECIALES DE ASEGURADOS VOLUNTARIOS","SECTOR PRIVADO","SI","SI","NO",26
1056,"MUJER","297110","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",35
1057,"MUJER","467500,65","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
1058,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",22
1059,"HOMBRE","276964,83","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",58
1060,"HOMBRE","360000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",40
1061,"HOMBRE","491540,23","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",50
1062,"MUJER","307401","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",28
1063,"HOMBRE","141510,22","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",90
1064,"MUJER","721809","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",46
1065,"HOMBRE","363793","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",51
1066,"HOMBRE","592200","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",53
1067,"MUJER","2196851","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",41
1068,"HOMBRE","495108,62","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",25
1069,"MUJER","380000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",57
